codibge;ano;sexo;Idade;obito
3503406;2024;Homens;85 a 89;8
3503406;2024;Homens;90 e mais;6
3503406;2024;Homens;Idade Ignorada;0
3503505;2024;Homens;00 a 04;0
3503505;2024;Homens;05 a 09;0
3503505;2024;Homens;10 a 14;0
3503505;2024;Homens;15 a 19;0
3503505;2024;Homens;20 a 24;0
3503505;2024;Homens;25 a 29;0
3503505;2024;Homens;30 a 34;0
3503505;2024;Homens;35 a 39;0
3503505;2024;Homens;40 a 44;2
3503505;2024;Homens;45 a 49;0
3503505;2024;Homens;50 a 54;1
3503505;2024;Homens;55 a 59;1
3503505;2024;Homens;60 a 64;3
3503505;2024;Homens;65 a 69;2
3503505;2024;Homens;70 a 74;1
3503505;2024;Homens;75 a 79;1
3503505;2024;Homens;80 a 84;2
3503505;2024;Homens;85 a 89;2
3503505;2024;Homens;90 e mais;0
3503505;2024;Homens;Idade Ignorada;0
3503604;2024;Homens;00 a 04;0
3503604;2024;Homens;05 a 09;0
3503604;2024;Homens;10 a 14;1
3503604;2024;Homens;15 a 19;0
3503604;2024;Homens;20 a 24;0
